Temperature,Wind Speed,Humidity,Flight Status
32.5,10.2,45.3,Fly
28.4,12.1,60.2,Fly
34.1,8.3,50.0,Fly
19.3,20.5,85.1,Don't Fly
5.7,35.8,90.2,Don't Fly
-2.1,18.7,95.5,Don't Fly
25.4,15.3,70.8,Fly
-8.6,30.2,80.1,Don't Fly
22.9,14.0,65.3,Fly
-10.0,40.0,100.0,Don't Fly
30.0,5.0,30.0,Fly
15.2,25.1,88.7,Don't Fly
3.4,28.9,92.3,Don't Fly
-4.5,12.3,85.0,Don't Fly
21.6,10.0,72.5,Fly
31.2,6.5,40.2,Fly
10.1,22.3,75.9,Don't Fly
-5.8,37.6,95.3,Don't Fly
18.3,16.0,60.0,Fly
28.7,9.8,50.5,Fly
29.1,14.4,60.0,Fly
12.4,26.7,80.3,Don't Fly
22.2,11.5,77.8,Fly
-1.3,35.0,90.5,Don't Fly
24.0,8.2,55.2,Fly
-6.7,40.3,100.0,Don't Fly
5.1,18.9,92.1,Don't Fly
17.8,20.0,70.9,Fly
-3.9,30.0,95.0,Don't Fly
30.2,9.3,60.0,Fly
10.0,22.0,85.0,Don't Fly
33.3,7.5,50.0,Fly
-4.2,19.6,80.0,Don't Fly
20.7,28.4,90.0,Don't Fly
-7.3,33.5,95.0,Don't Fly
28.0,10.4,55.0,Fly
-9.4,40.0,100.0,Don't Fly
15.6,12.2,60.0,Fly
23.0,15.0,65.0,Fly
-1.5,22.5,80.0,Don't Fly
30.3,9.7,55.0,Fly
16.4,18.8,72.0,Fly
-5.2,30.3,95.0,Don't Fly
24.1,14.5,60.0,Fly
-8.2,37.0,100.0,Don't Fly
22.0,11.3,75.0,Fly
-2.0,25.5,80.5,Don't Fly
27.8,6.0,50.0,Fly
-3.5,28.0,85.0,Don't Fly
18.2,17.0,90.0,Don't Fly
31.0,8.2,55.0,Fly
-6.0,32.1,95.0,Don't Fly
25.5,12.0,60.0,Fly
-9.0,40.0,100.0,Don't Fly
12.8,19.5,80.0,Don't Fly
22.4,11.8,75.0,Fly
-5.5,30.4,95.0,Don't Fly
27.1,14.3,60.0,Fly
-3.2,25.0,85.0,Don't Fly
23.3,9.0,50.0,Fly
-6.5,36.0,95.0,Don't Fly
29.0,7.0,60.0,Fly
-4.0,30.0,90.0,Don't Fly
17.0,15.0,70.0,Fly
-1.2,28.0,80.0,Don't Fly
30.4,9.2,55.0,Fly
-7.0,35.0,95.0,Don't Fly
19.0,20.0,90.0,Don't Fly
-4.7,33.0,100.0,Don't Fly
25.2,13.4,60.0,Fly
-5.9,28.5,80.0,Don't Fly
21.0,12.5,75.0,Fly
-3.0,30.0,85.0,Don't Fly
28.3,10.6,50.0,Fly
-6.3,36.0,95.0,Don't Fly
24.8,14.7,60.0,Fly
-8.0,33.5,100.0,Don't Fly
22.1,11.2,75.0,Fly
-1.0,29.0,85.0,Don't Fly
31.5,8.8,55.0,Fly
-6.8,34.0,90.0,Don't Fly
19.6,16.9,70.0,Fly
-2.9,32.0,95.0,Don't Fly
26.2,9.5,60.0,Fly
-4.3,30.0,80.0,Don't Fly
21.8,13.1,70.0,Fly
-5.0,37.0,90.0,Don't Fly
25.9,12.8,55.0,Fly
-7.8,33.5,95.0,Don't Fly
22.6,10.3,75.0,Fly
-3.8,30.0,85.0,Don't Fly
30.5,8.5,50.0,Fly
-4.6,36.0,90.0,Don't Fly
19.2,20.0,80.0,Don't Fly
-6.2,33.5,95.0,Don't Fly
27.6,9.0,60.0,Fly
-8.4,32.0,85.0,Don't Fly
23.9,12.0,75.0,Fly
-5.1,30.2,95.0,Don't Fly
28.6,10.7,55.0,Fly
-2.8,31.0,80.0,Don't Fly
24.3,14.4,70.0,Fly
-6.6,34.0,90.0,Don't Fly
22.8,11.9,65.0,Fly
-1.4,29.5,85.0,Don't Fly
25.0,9.9,55.0,Fly
-4.9,30.5,90.0,Don't Fly
20.5,15.0,75.0,Fly
-5.3,36.5,95.0,Don't Fly
18.9,17.0,80.0,Don't Fly
-3.6,32.2,90.0,Don't Fly
27.4,10.1,60.0,Fly
-7.1,33.0,95.0,Don't Fly
22.7,12.0,70.0,Fly
-1.7,28.7,85.0,Don't Fly
30.7,8.3,55.0,Fly
-6.9,34.5,90.0,Don't Fly
18.4,16.5,75.0,Fly
-4.4,32.3,90.0,Don't Fly
25.8,11.8,60.0,Fly
-8.3,35.5,95.0,Don't Fly
23.7,10.0,70.0,Fly
-3.1,30.1,85.0,Don't Fly
29.5,9.2,55.0,Fly
-5.4,33.5,90.0,Don't Fly
21.5,14.2,70.0,Fly
-2.6,31.8,85.0,Don't Fly
30.9,8.6,55.0,Fly
-4.8,36.0,90.0,Don't Fly
19.7,15.3,75.0,Fly
-3.3,32.5,90.0,Don't Fly
